identifier,dimension,smiles,bus,elements,ms,nms
ALUPIH,1,C1CNCCNCCCNCCNC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
ALUPON,2,C1CNCCNCCCNCCNC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
AMAKIK,0,Nc1ccncc1,[2],"['Cd', 'O', 'S']",['Cd'],"['O', 'S']"
AMAKOQ,0,Nc1ccncc1,[2],"['Mn', 'O', 'S']",['Mn'],"['O', 'S']"
AMATEP,0,Nc1ccncc1,[2],"['Cd', 'O', 'S']",['Cd'],"['O', 'S']"
AMAVER,0,Nc1ccncc1,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']"
AMAVUH,0,Nc1ccncc1,[2],"['Mn', 'O', 'S']",['Mn'],"['O', 'S']"
AMIYIG,3,NCCCCN,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
AMIYOM,3,NCCCCN,[7],"['C', 'Co', 'O']",['Co'],"['C', 'O']"
AMIZAZ,3,NCCCCN,[7],"['C', 'Ni', 'O']",['Ni'],"['C', 'O']"
AMIZON,3,NCCCCN,[7],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']"
AMOBEL,3,NCCCCN,[7],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']"
AMOGIS,0,C1CN=C2NCCCN2C1,[],"['O', 'Tc']",['Tc'],['O']
AMOGOY,0,C1CN=C2NCCCN2C1,[],"['O', 'Re']",['Re'],['O']
AMOGUE,0,C=CCC1(CC=C)CCN2CCC(CC=C)(CC=C)NC2=N1,[],"['O', 'Tc']",['Tc'],['O']
AMOHAL,0,C=CCC1(CC=C)CCN2CCC(CC=C)(CC=C)NC2=N1,[],"['O', 'Re']",['Re'],['O']
AMOHEP,0,c1ccc(C2(c3ccccc3)CCN3CCC(c4ccccc4)(c4ccccc4)NC3=N2)cc1,[],"['O', 'Tc']",['Tc'],['O']
AMOMUM,3,NCCCCN,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
AMONAT,3,NCCCCN,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
AMURUX,3,NCCCCN,[7],"['C', 'Mg', 'O']",['Mg'],"['C', 'O']"
ANEFIK,2,CCCN(CCC)CCC,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']"
APIPUL,0,CCN(CC)CC,[8],"['C', 'O', 'U']",['U'],"['C', 'O']"
APIZEF,0,NCCN,[],"['O', 'W']",['W'],['O']
APOFIV,0,CCN(CC)CC,[8],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']"
APOGOD,3,CNC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
APOZIO,0,NCCN,"[2, 11]","['As', 'O', 'S', 'V']",['V'],"['As', 'O', 'S']"
AQOURI,0,c1c[nH]cn1,[10],"['N', 'O', 'U']",['U'],"['N', 'O']"
AQUPAE,2,NCCN,[2],"['Co', 'O', 'S']",['Co'],"['O', 'S']"
ARABIF,0,NCCN1CCNCC1,[],"['Ge', 'O', 'V']","['Ge', 'V']",['O']
AROYOW,0,Nc1cccnc1,[],"['O', 'V']",['V'],['O']
ARUFIC,3,NCCCN,[6],"['As', 'F', 'Ga', 'O']",['Ga'],"['As', 'F', 'O']"
ARUYOB,3,NCc1cccc(CN)c1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
ARUYUH,3,CCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
ASEMIU,0,NCCN,[],"['O', 'Sb', 'V']","['Sb', 'V']",['O']
ASEQIA,2,NC1CN2CCC1CC2,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
ASEQOG,2,NC1CCNC1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
ASEQUM,2,NCCCCN,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
ASERAT,2,NCCCNCCCCNCCCN,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
ASEREX,2,NCCCN,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
ASERIB,2,NCC1CCCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
ASEZOP,0,c1cc(CCCc2ccncc2)ccn1,[1],"['Mo', 'Ni', 'O', 'P']","['Mo', 'Ni']","['O', 'P']"
ASEZUV,0,c1cc(CCCc2ccncc2)ccn1,[1],"['Cd', 'Mo', 'O', 'P']","['Cd', 'Mo']","['O', 'P']"
ASIBAH,2,c1cc(CCCc2ccncc2)ccn1,[1],"['Cd', 'Mo', 'O', 'P']","['Cd', 'Mo']","['O', 'P']"
ASOJAT,2,NCCN,[1],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']"
ASOWEK,1,C1CN2CCN1CC2,[],"['Mo', 'O']",['Mo'],['O']
ASOXOV,0,C1CN2CCN1CC2,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']"
ATAHEI,2,NCCN,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
ATECIN,0,Nc1ccccn1,[1],"['Cu', 'Mo', 'O', 'P']","['Cu', 'Mo']","['O', 'P']"
AWAJOY,0,CNC,[],"['O', 'Sb', 'W']","['Sb', 'W']",['O']
AWASEW,2,NCCNCCNCCNCCN,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
AWEFAK,1,CC1CNCCN1,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
AWEFIS,1,CN1CCNCC1,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
AWEKUI,2,C1CNCCN1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
AWIFER,2,NCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
AWIPUT,1,c1cc(CCCc2ccncc2)ccn1,[],"['Co', 'Mo', 'O', 'Zn']","['Co', 'Mo', 'Zn']",['O']
AWOJIG,0,CNCCNC,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']"
AWOPOS,0,Cc1ccnc(N)c1,[],"['O', 'V']",['V'],['O']
AWOQAF,0,CCN(CC)CC,[8],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
AXAFAG,3,C1CN2CCN1CC2,[1],"['F', 'O', 'P', 'U']",['U'],"['F', 'O', 'P']"
AXAFEK,3,NCCN,[],"['Ge', 'O']",['Ge'],['O']
AXOHOL,1,CC1CNC(C)CN1,[],"['O', 'Te', 'V']","['Te', 'V']",['O']
AXOHUR,2,CC1CNCCN1,[],"['O', 'Te', 'V']","['Te', 'V']",['O']
AXORUB,0,c1ccncc1,[1],"['O', 'P', 'W']",['W'],"['O', 'P']"
AXUPEO,3,C1CN2CCN1CC2,[1],"['Al', 'Mn', 'O', 'P']","['Al', 'Mn']","['O', 'P']"
AYEJIY,2,NCCNCCN,[2],"['Nd', 'O', 'S']",['Nd'],"['O', 'S']"
AYEJOE,1,NCCNCCN,[2],"['Ho', 'O', 'S']",['Ho'],"['O', 'S']"
AYEMAT,2,NCCCCCCCCCN,"[13, 3]","['O', 'Se', 'U']",['U'],"['O', 'Se']"
AYILOK,3,NCCN,[1],"['O', 'P', 'V']",['V'],"['O', 'P']"
AYIMIF,0,NCCN,[2],"['Cd', 'O', 'S']",['Cd'],"['O', 'S']"
AYIZOY,0,CNCCNC,[4],"['C', 'Co', 'O']",['Co'],"['C', 'O']"
AYOKII,0,c1cc(-c2ccncc2)ccn1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
AYUPAL,2,C1CNCCN1,[2],"['F', 'Ni', 'O', 'S']",['Ni'],"['F', 'O', 'S']"
AYUPEP,2,C1CN2CCN1CC2,[2],"['F', 'Ni', 'O', 'S']",['Ni'],"['F', 'O', 'S']"
AYUPIT,2,NCCCN,[2],"['F', 'Ni', 'O', 'S']",['Ni'],"['F', 'O', 'S']"
AYUPOB,0,NCCNCCNCCNCCN,"[14, 12]","['B', 'O', 'V']",['V'],"['B', 'O']"
AZECUD,0,c1ccc(-c2cccc(-c3ccccn3)n2)nc1,[10],"['N', 'O', 'U']",['U'],"['N', 'O']"
AZEDAK,0,c1ccc(-c2ccccn2)nc1,[10],"['N', 'O', 'U']",['U'],"['N', 'O']"
AZEDIS,0,c1ccncc1,[10],"['N', 'O', 'U']",['U'],"['N', 'O']"
AZEMUO,0,Nc1ccccc1,[],"['O', 'Tc']",['Tc'],['O']
AZENAV,0,Nc1ccccc1,[],"['O', 'Re']",['Re'],['O']
AZEWAD,3,NCCN,[2],"['Nd', 'O', 'S']",['Nd'],"['O', 'S']"
AZEWEH,3,C1CNCCN1,[2],"['Nd', 'O', 'S']",['Nd'],"['O', 'S']"
AZEWIL,2,NCCN,[2],"['Nd', 'O', 'S']",['Nd'],"['O', 'S']"
AZEWOR,2,NCCCN,[2],"['La', 'O', 'S']",['La'],"['O', 'S']"
AZEZEK,2,CNC,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
AZIQAB,0,NC1CCCCC1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
AZONIM,1,CC1CNC(C)CN1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
AZOPEK,2,NC1CCC(N)CC1,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
AZOWIV,2,NCCNCCN,"[12, 1]","['B', 'Cd', 'Cl', 'O', 'P']",['Cd'],"['B', 'Cl', 'O', 'P']"
AZOWOB,3,NCCN,"[12, 1]","['B', 'Cd', 'O', 'P']",['Cd'],"['B', 'O', 'P']"
BAGPEE,0,N=C(N)N,[],"['Mo', 'O']",['Mo'],['O']
BAHQOR,1,CN1CCNCC1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
BAKFAV,3,N=C(N)N,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
BAKFEZ,2,NCCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
BAKKUV,0,N=c1[nH]cn[nH]1,[5],"['Mo', 'O', 'Si']","['Mo', 'Si']",['O']
BAMMEK,2,c1cn(-c2ccc(N=Nc3ccc(-n4ccnc4)cc3)cc2)cn1,[],"['Mo', 'O']",['Mo'],['O']
BANDAV,0,N=C(N)N,[15],"['C', 'O', 'U']",['U'],"['C', 'O']"
BARHOS,0,CNC,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
BARWEX,2,c1ccncc1,[],"['O', 'V']",['V'],['O']
BATCOQ,0,Nc1cccnc1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
BAVXAX,2,NCc1ccccc1,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']"
BAVXEB,0,NCCCN,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']"
BAWZAC,0,CCCCN,[],"['Cl', 'Cu', 'O', 'Sb', 'W']","['Cu', 'Sb', 'W']","['Cl', 'O']"
BAWZEG,0,CCCCN,[11],"['As', 'Cl', 'Mn', 'O', 'W']","['Mn', 'W']","['As', 'Cl', 'O']"
BAXKAM,3,NCCN,[],"['Ga', 'Ge', 'O']","['Ga', 'Ge']",['O']
BAXPUL,3,NCCN,[],"['Ga', 'Ge', 'O']","['Ga', 'Ge']",['O']
BAYBOT,2,NC1CCC(N)CC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
BAYBUY01,0,CCc1cccnc1,[],"['O', 'V']",['V'],['O']
BEBFAQ,2,C1CNCCN1,[16],"['B', 'F', 'Ge', 'O']",['Ge'],"['B', 'F', 'O']"
BECQUV,0,C1CN2CCN1CC2,"[14, 12, 1]","['B', 'O', 'P', 'V']",['V'],"['B', 'O', 'P']"
BECRAD,3,C1CN2CCN1CC2,[17],"['Cl', 'K', 'O']",['K'],"['Cl', 'O']"
BEDNAA,2,NCCCN1CCN(CCCN)CC1,[6],"['As', 'F', 'Fe', 'O']",['Fe'],"['As', 'F', 'O']"
BEHKAA,2,CN(C)CCN(C)C,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
BEJHAC,0,CCCCN(CCCC)CCCC,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']"
BEKDIF,2,C1CCNCC1,[1],"['Cl', 'O', 'P', 'Zn']",['Zn'],"['Cl', 'O', 'P']"
BEKSAM,3,NCCN,[1],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']"
BEMJAG,2,NCCN(CCN)CCN,[],"['F', 'Ge', 'O']",['Ge'],"['F', 'O']"
BEMWAT,0,N=c1cccc[nH]1,[4],"['C', 'Cr', 'O']",['Cr'],"['C', 'O']"
BERVUQ,2,NCCN,[13],"['La', 'O', 'Se']",['La'],"['O', 'Se']"
BERWAX,2,C1CNCCN1,[13],"['La', 'O', 'Se']",['La'],"['O', 'Se']"
BESJIT,2,NC1CCC(N)CC1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
BEVKUJ,0,NCc1ccccc1,[2],"['Cu', 'O', 'S']",['Cu'],"['O', 'S']"
BEVLAQ,2,NCCCNCCNCCCN,[2],"['O', 'S', 'U']",['U'],"['O', 'S']"
BEWSIF,0,N=C(N)N,[],"['O', 'Te']",['Te'],['O']
BEYSAZ,0,CNC,[2],"['Ho', 'O', 'S']",['Ho'],"['O', 'S']"
BEZBAL,0,c1c[nH]cn1,[5],"['O', 'Si', 'W']","['Si', 'W']",['O']
BEZLEX,0,NCCN,[],"['F', 'O', 'U']",['U'],"['F', 'O']"
BICGID,0,CCCN,[],"['Mo', 'O']",['Mo'],['O']
BICGIG,1,CN,[],"['Mo', 'O']",['Mo'],['O']
BICGOJ,0,CC(C)N,[],"['Mo', 'O']",['Mo'],['O']
BICGOM,2,Cc1ccc(C)c(N)c1,[],"['Mo', 'O']",['Mo'],['O']
BICPOT,3,CN(C)c1ccncc1,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']"
BIQFAL,3,c1c[nH]cn1,[7],"['C', 'Cr', 'Na', 'O']","['Cr', 'Na']","['C', 'O']"
BIQFOW,3,c1ccncc1,[1],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']"
BIQHUH,3,c1c[nH]cn1,[7],"['Al', 'C', 'Na', 'O']","['Al', 'Na']","['C', 'O']"
BIQNUM,3,C1CNCCN1,[2],"['Bi', 'O', 'S']",['Bi'],"['O', 'S']"
BIQPAU,2,C1CN2CCN1CC2,"[2, 10]","['Bi', 'N', 'O', 'S']",['Bi'],"['N', 'O', 'S']"
BIQREA,2,CN1CCN(C)CC1,"[0, 4]","['C', 'Ga', 'O', 'P']",['Ga'],"['C', 'O', 'P']"
BIQRIE,3,CN1CCN(C)CC1,"[0, 4]","['C', 'Ga', 'O', 'P']",['Ga'],"['C', 'O', 'P']"
BITREB,0,CC(C)(C)N,[],"['Mo', 'O']",['Mo'],['O']
BITRIF,0,CC(C)(C)N,[],"['O', 'W']",['W'],['O']
BIVLUQ,3,NCCNCCN,[1],"['Co', 'F', 'O', 'P']",['Co'],"['F', 'O', 'P']"
BIVSOO,0,c1cc(-c2ccncc2)ccn1,[10],"['N', 'O', 'Yb']",['Yb'],"['N', 'O']"
BIVXUZ,2,CN,[],"['O', 'V']",['V'],['O']
BIVYEK,2,CN,[],"['O', 'V']",['V'],['O']
BIWGUJ,3,NCCCCCCN,[1],"['O', 'P', 'Sn']",['Sn'],"['O', 'P']"
BIWHAQ,3,NCCCCCCCCN,[1],"['O', 'P', 'Sn']",['Sn'],"['O', 'P']"
BIWWAG,0,C1CNCCN1,[4],"['C', 'Ge', 'O']",['Ge'],"['C', 'O']"
BIWWEK,0,c1cc(-c2ccncc2)ccn1,[4],"['C', 'Ge', 'O']",['Ge'],"['C', 'O']"
BIYFEV,2,NCCN,[1],"['K', 'Mo', 'O', 'P']","['K', 'Mo']","['O', 'P']"
BIYFIZ,2,NCCN,[1],"['Mo', 'Na', 'O', 'P']","['Mo', 'Na']","['O', 'P']"
BOJBOS,0,CN(C)CCN(C)C,[],"['O', 'V']",['V'],['O']
BOKJIV,0,CCNCCNCC,[],"['Mo', 'O']",['Mo'],['O']
BOKJOB,0,CCNCCN(C)C,[],"['Mo', 'O']",['Mo'],['O']
BOKJUH,1,CN(C)CCN(C)C,[],"['Mo', 'O']",['Mo'],['O']
BOKKAO,1,NCCN(CCN)CCN,[],"['Mo', 'O']",['Mo'],['O']
BOKKES,0,CCNCCNCC,[],"['F', 'Mo', 'O']",['Mo'],"['F', 'O']"
BOKKIW,0,CCNCCN(C)C,[],"['F', 'Mo', 'O']",['Mo'],"['F', 'O']"
BOKKOC,1,CN(C)CCN(C)C,[],"['F', 'Mo', 'Na', 'O']","['Mo', 'Na']","['F', 'O']"
BOKKUI,0,NCCN(CCN)CCN,[],"['F', 'Mo', 'O']",['Mo'],"['F', 'O']"
BOKVUU,2,CN,[2],"['O', 'S', 'U']",['U'],"['O', 'S']"
BOKWAB,2,N=C(N)N,[13],"['O', 'Se', 'U']",['U'],"['O', 'Se']"
BOLQIE,0,N#CN=C(N)N,[1],"['O', 'P', 'W']",['W'],"['O', 'P']"
BOMZOT,0,CCNCC,[1],"['Hf', 'O', 'P', 'W']","['Hf', 'W']","['O', 'P']"
BOMZUZ,0,CCNCC,[1],"['O', 'P', 'W', 'Zr']","['W', 'Zr']","['O', 'P']"
BOPMUR,3,CNC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
BOPNAY,3,CNC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
BOPNEC,3,CNC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
BOPNIG,3,CNC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
BOPNOM,3,CNC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
BOPNUS,3,CNC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
BOPPUU,3,CNC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
BOQNIE,0,CNC,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
BOQVIN,0,NCCN,[],"['Fe', 'Ge', 'O', 'W']","['Fe', 'Ge', 'W']",['O']
BOQWUC,2,CN(C)C12CC3CC(C)(CC(C)(C3)C1)C2,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
BOTHAU,2,CN,[6],"['As', 'O', 'U']",['U'],"['As', 'O']"
BOWRAH,3,NCCCN,"[12, 1]","['B', 'Fe', 'O', 'P']",['Fe'],"['B', 'O', 'P']"
BOWSOW,3,c1cc(-c2ccncc2)ccn1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']"
BOWSUC,3,NCCNCCN,[0],"['F', 'O', 'P', 'V']",['V'],"['F', 'O', 'P']"
BOXWAN,3,NCCN,"[14, 12]","['Al', 'B', 'O']",['Al'],"['B', 'O']"
BOXWER,3,NCCCN,"[14, 12]","['Al', 'B', 'O']",['Al'],"['B', 'O']"
BOXWIV,3,NCCCCN,"[14, 12]","['Al', 'B', 'O']",['Al'],"['B', 'O']"
BOXYAQ,3,CC(N)CN,"[4, 1]","['C', 'Mn', 'O', 'P']",['Mn'],"['C', 'O', 'P']"
BOXYEU,3,CCCN,"[4, 1]","['C', 'Mn', 'O', 'P']",['Mn'],"['C', 'O', 'P']"
BOXYIY,3,CN1CCNCC1,"[4, 1]","['C', 'Mn', 'O', 'P']",['Mn'],"['C', 'O', 'P']"
BUAMDW10,0,CCCCN(CCCC)CCCC,[],"['O', 'W']",['W'],['O']
BUBQOE,3,C1CNCCN1,[0],"['O', 'P', 'U']",['U'],"['O', 'P']"
BUCREZ,0,c1ccc2[nH]cnc2c1,[4],"['C', 'Cr', 'O']",['Cr'],"['C', 'O']"
BUCRID,0,c1ccc2[nH]cnc2c1,[4],"['C', 'Cr', 'O']",['Cr'],"['C', 'O']"
BUGWUV,0,N=C(N)N,[6],"['As', 'Mo', 'O']",['Mo'],"['As', 'O']"
BURHIG,1,C1CNCCN1,[0],"['Co', 'O', 'P']",['Co'],"['O', 'P']"
BURHUS,3,CNC,[0],"['Co', 'O', 'P']",['Co'],"['O', 'P']"
BUTHUU,0,CC(N)CN,[6],"['As', 'Ni', 'O', 'W']","['Ni', 'W']","['As', 'O']"
BUWKEL,0,Nc1ccncc1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
BUWZUP,1,c1cc(CCCc2ccncc2)ccn1,[],"['Mo', 'O']",['Mo'],['O']
CACKOI,0,NCCN,[6],"['As', 'O', 'W']",['W'],"['As', 'O']"
CADPED,1,NCCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
CADPIH,3,NCCCNCCN,[1],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']"
CAFKIG,0,c1c[nH]cn1,[],"['Cr', 'F', 'O']",['Cr'],"['F', 'O']"
CAGXIS,2,NCCCN1CCN(CCCN)CC1,[1],"['Cl', 'Co', 'O', 'P']",['Co'],"['Cl', 'O', 'P']"
CAGZOA,2,NCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
CAGZUG,1,NCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
